k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.11849247531103063,0.09361422001200927,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.1761748039551468,0.14806857293310363,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.24655567933824193,0.19606357075710587,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.30098286100096583,0.24160427003029697,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.38023010868039514,0.28535097311795377,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.44566916332681006,0.3291305211501561,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5484391205819804,0.40388769571260313,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6177264959279299,0.4717378036125249,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.6834509924052371,0.5353116301939307,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7895828965767527,0.6617757077818545,0.8855239648500733,0.8775517831364841,1.0,1.0
